Name,Year,Rating,Runtime,Votes
V,2020,6.9,140.0,6756.0
Laal Kaptaan,2019,7.3,155.0,4114.0
Chaman Bahaar,2020,7.0,111.0,5864.0
Mard Ko Dard Nahin Hota,2018,7.4,134.0,6646.0
Street Dancer 3D,2020,3.6,146.0,5930.0
Choked,2020,5.8,114.0,4826.0
Made in China,2019,6.2,128.0,3845.0
Kurup,2021,,,
Laila Majnu,2018,7.8,140.0,2698.0
Missing,2018,5.8,120.0,2074.0
Simmba,2018,5.6,158.0,15243.0
Looop Lapeta,2021,,,
Toofaan,2021,,,
Class of '83,2020,5.8,98.0,5083.0
Shamshera,2021,,,
Mission Mangal,2019,6.5,130.0,12608.0
Love Sonia,2018,7.4,122.0,1570.0
Hichki,2018,7.5,116.0,11092.0
Pushpa,2021,,,
Bahut Hua Sammaan,2020,7.3,125.0,3036.0
Manto,2018,7.4,112.0,3929.0
Satyameva Jayate,2018,5.7,140.0,6299.0
The Immortal Ashwatthama,,,,
Yeh Saali Aashiqui,2019,8.0,137.0,3262.0
Baaghi 2,2018,4.8,137.0,9624.0
Bachchan Pandey,2022,,,
The Accidental Prime Minister,2019,6.0,112.0,6373.0
One Day: Justice Delivered,2019,5.0,124.0,1055.0
Drive,2019,3.5,147.0,6414.0
PM Narendra Modi,2019,3.1,136.0,5954.0
Husband Material,2018,6.9,156.0,7441.0
Darbaan,2020,7.5,145.0,727.0
Gangubai Kathiawadi,2021,,,
Jhund,2021,,,
Salaar,2022,,,
Bhoot police,2021,,,
Kalank,2019,3.6,166.0,11870.0
Shimla Mirchi,2020,4.6,129.0,1321.0
Udham Singh,2021,8.2,,29.0
De De Pyaar De,2019,6.6,135.0,7325.0
Parmanu: The Story of Pokhran,2018,7.6,129.0,21771.0
D Company,2021,4.4,91.0,216.0
Panga,2020,6.8,131.0,5455.0
Antim: The Final Truth,2021,,,
The Power,2021,5.7,153.0,1543.0
Shubh Mangal Zyada Saavdhan,2020,5.8,117.0,8208.0
Veere Di Wedding,2018,3.2,135.0,11999.0
All Ladies Do It,2020,7.9,97.0,384.0
Why Cheat India,2019,6.0,121.0,2442.0
Rashmi Rocket,2021,,,
Lovefucked,2018,6.0,106.0,363.0
Soorma,2018,7.4,131.0,4648.0
Chopsticks,2019,6.5,100.0,4293.0
The Zoya Factor,2019,4.2,134.0,2119.0
Gulabo Sitabo,2020,6.3,124.0,11363.0
The Elder One,2019,7.5,125.0,1707.0
Secrets of Sinauli,2021,9.3,56.0,1372.0
Commando 3,2019,5.7,133.0,2425.0
Darbar,2020,6.1,159.0,5169.0
Pataakha,2018,7.2,134.0,3824.0
Prassthanam,2019,5.9,141.0,1265.0
Jersey,2021,,,
Love Per Square Foot,2018,7.2,133.0,7587.0
Cargo,2019,5.7,119.0,2588.0
Heropanti 2,2021,,,
Rambo,,,,
Batti Gul Meter Chalu,2018,6.0,161.0,4685.0
Bhuj: The Pride of India,2021,,,
Eeb Allay Ooo!,2019,7.4,98.0,1245.0
Har Kisse Ke Hisse: Kaamyaab,2018,7.9,109.0,3781.0
Raat Baaki Hai,2021,5.2,100.0,332.0
Dolly Kitty and Those Twinkling Stars,2019,5.4,126.0,4754.0
Halahal,2020,7.1,97.0,1441.0
Pareeksha,2020,8.1,120.0,2919.0
Bunty Aur Babli 2,2021,,,
Tuesdays and Fridays,2021,4.5,106.0,573.0
London Confidental,2020,6.4,77.0,1653.0
Fighter,2022,,,
Judgementall Hai Kya,2019,5.9,121.0,5419.0
Kaala,2018,6.7,162.0,8159.0
Flight,2021,8.3,116.0,359.0
Pati Patni Aur Woh,2019,5.7,126.0,6164.0
Eiga Doraemon: Nobita no getsumen tansaki,2019,6.8,111.0,556.0
1921,2018,4.5,144.0,1068.0
Guilty,2020,5.4,119.0,3918.0
Namaste England,2018,2.2,141.0,2645.0
Arjun Patiala,2019,4.3,107.0,1204.0
Total Dhamaal,2019,4.2,130.0,5647.0
Hate Story IV,2018,3.3,131.0,1469.0
Dangerous,2021,,,
Naam,2021,,,
Vishwaroopam 2,2018,5.9,145.0,2312.0
Axone,2019,7.0,104.0,1979.0
Tadap,2021,,,
Ramyug,,,37.0,
Dhaakad,2021,,,
Once Again,2018,7.0,101.0,869.0
Soni,2018,7.2,97.0,2528.0
Animal,2022,,,
Kaali Khuhi,2020,3.4,90.0,1032.0
Love Aaj Kal,2020,4.7,142.0,6992.0
Raksha Bandhan,2021,,,
Qala,2021,,,
Garbage,2018,3.4,105.0,950.0
Searching for Sheela,2021,4.1,58.0,553.0
Pagalpanti,2019,3.2,149.0,2118.0
Bhool Bhulaiyaa 2,2021,,,
Nympho: The Lust Story,2020,5.3,104.0,31.0
Paharganj,2019,4.5,108.0,786.0
Junglee,2019,5.6,115.0,1657.0
Dhadak,2018,4.5,138.0,9396.0
Cirkus,2022,,112.0,
Dhamaka,2021,,,
Thalaivi,,,130.0,
Shabaash Mithu,2021,,,
Raid,2018,7.4,122.0,15831.0
Tottaa Pataaka Item Maal,2019,7.6,107.0,1361.0
102 Not Out,2018,7.4,102.0,6618.0
Rajma Chawal,2018,5.8,117.0,1698.0
Dobaaraa,2021,,,
Anek,2021,,,
Half Dracula,2021,,100.0,
Koochie Koochie Hota Hai,2021,,,
Harami,2020,7.7,100.0,957.0
Ghoomketu,2020,5.5,108.0,2708.0
Mr Lele,,,,
Kick 2,,,,
Ateet,2020,4.3,120.0,203.0
Ram Singh Charlie,2020,8.0,104.0,1270.0
Action,2019,4.5,158.0,857.0
Raahgir,2019,7.4,85.0,27.0
The Intern,2022,,,
Chhapaak,2020,5.1,120.0,25068.0
Dasvi,2021,,,
Rocketry: The Nambi Effect,2021,,,
Kira: The Return of the Unknown,,,100.0,
Gaurav Gupta: Market Down Hai,2021,7.5,50.0,224.0
Kaalakaandi,2018,6.3,112.0,2612.0
Prithviraj,2021,,,
Mosagallu,2021,8.0,85.0,1044.0
Lahore Confidential,2021,2.8,68.0,521.0
Jayeshbhai Jordaar,2021,,,
Ponniyin Selvan,2022,,,
The Tenant,2021,,112.0,
Ram Setu,,,,
Sui Dhaaga: Made in India,2018,6.8,122.0,7420.0
Gumnaami,2019,7.8,142.0,1694.0
Barot House,2019,7.3,89.0,1134.0
Saand Ki Aankh,2019,7.7,146.0,4210.0
Satyameva Jayate 2,2021,,122.0,
Beautiful,2020,8.5,123.0,13.0
Mission Majnu,,,,
Shakuntala Devi,2020,6.1,127.0,8456.0
Saheb Biwi Aur Gangster 3,2018,4.4,140.0,744.0
Officer Arjun Singh IPS,2019,8.0,120.0,91.0
Adipurush,2022,,,
14 Phere,2021,,,
Dostana 2,2021,,,
House Arrest,2019,5.5,104.0,1486.0
Amavas,2019,2.8,134.0,308.0
Balakot: the true story,2020,,,
Mumbaikar,2021,,,
My Darling,2021,7.4,80.0,63.0
Borderlands,2021,9.0,,7.0
Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.5,120.0,3934.0
Who,2018,5.1,153.0,260.0
India's Most Wanted,2019,4.5,123.0,1991.0
Bhaiaji Superhit,2018,3.9,139.0,553.0
12 O'Clock,2021,4.4,155.0,62.0
Manikarnika: The Queen of Jhansi,2019,6.4,148.0,10229.0
The Birth: 10000 BC,2021,,,
Sam Bahadur,2021,,,
Takht,,,,
The Battle of Bhima Koregaon,2021,,,
Pitta Kathalu,2021,5.0,150.0,626.0
Jamun,2021,7.5,92.0,409.0
Aankhen 2,2021,,,
Chhappad Phaad Ke,2019,6.3,90.0,954.0
Attack,2021,,,
Vodka Diaries,2018,5.6,120.0,1287.0
Phone Bhoot,2021,,,
Paani,,,,
Golmaal 5,,,,
Kuchh Bheege Alfaaz,2018,7.5,116.0,820.0
Ujda Chaman,2019,6.9,120.0,4944.0
Chandigarh Kare Aashiqui,2021,,,
Writing with Fire,2021,8.1,92.0,106.0
Yaara,2020,6.3,130.0,3954.0
Bypass Road,2019,5.4,137.0,890.0
Love Will Take Over,2018,3.0,140.0,2091.0
Thackeray,2019,5.2,120.0,3004.0
Hamid,2018,7.8,108.0,1054.0
Alibaug,,,,
Kaanchli Life in a Slough,2020,7.3,101.0,85.0
Haunted Hills,2020,6.7,102.0,31.0
Bhoot: Part One - The Haunted Ship,2020,5.4,114.0,4236.0
Bob Biswas,,,,
Fiza Mein Tapish,2021,,125.0,
X Zone,2020,2.7,97.0,50.0
Project Kahuta,2021,,82.0,
Kanpuriye,2019,6.3,103.0,1098.0
Nawabzaade,2018,4.4,112.0,877.0
Jalebi,2018,6.0,112.0,2479.0
Pailwaan,2019,6.4,166.0,1670.0
Mimi,2021,,,
Kabhi Eid Kabhi Diwali,2021,,,
Love Sorries,2021,9.3,101.0,79.0
Music Teacher,2019,6.3,101.0,598.0
Baiju Bawra,2021,,,
Shukranu,2020,6.4,90.0,678.0
Dhira,2020,6.5,117.0,388.0
Ekkees Tareekh Shubh Muhurat,2018,5.7,97.0,394.0
VanRakshak,2021,8.2,93.0,32.0
Bombay Rose,2019,6.0,97.0,480.0
Hungama 2,,,,
Chippa,2019,6.5,90.0,939.0
Main Mulayam Singh Yadav,2021,4.2,120.0,118.0
Yeh Ballet,2020,7.6,117.0,1126.0
Bawri Chhori,2021,5.2,,79.0
The Cage of Life,2020,7.5,,22.0
The Wife,2021,4.5,106.0,235.0
June,2021,9.4,93.0,18.0
RK/RKAY,2021,8.7,95.0,12.0
FryDay,2018,5.2,114.0,783.0
My Goal football,2021,,,
Singham,2019,5.5,141.0,96.0
Penthouse,2021,,,
Veerey Ki Wedding,2018,2.8,131.0,498.0
Khaali Peeli,2020,2.3,119.0,8105.0
Bamfaad,2020,7.2,102.0,1533.0
Sayonee,2020,7.6,111.0,565.0
Bhangra Paa Le,2020,6.0,131.0,287.0
