Name,Year,Rating,Runtime,Votes
Deja Vu,2021,,,
The Rapist 2021,2021,,,
The House on the Cliff,2021,,,
Shooter,2021,,143.0,
My Birthday Song,2018,5.5,95.0,258.0
Bolo Hau,2021,,94.0,
Ekta,2019,8.0,99.0,36.0
21: Battle of Saragarhi,,,,
Leera the Soulmate,2018,6.3,104.0,1624.0
The Great Indian Escape,2019,7.1,117.0,39.0
Hyderabad Nawabs 2,2019,5.2,125.0,27.0
Blind,(III,,,
Gun Pe Done,2019,,120.0,
Bunker,2020,6.8,98.0,82.0
PaaniLok,,,,
Noise of Silence,2021,7.2,110.0,46.0
Amriki Pandit,2021,,,
Filmi Raasleela,2020,,126.0,
Mere Desh Ki Dharti,2021,,,
Jism 3,,,135.0,
Boxer,(III,,164.0,
Indian Never Again Nirbhaya,2018,6.5,,27.0
Machaan,2021,8.6,124.0,93.0
Tsunami,2022,,,
Page 16,2018,3.9,112.0,31.0
Ishqeria,2018,4.1,118.0,167.0
K7- The Story of Seven Immortals,,,,
Om Shri Satya Sai Baba,2021,,,
22 Yards,2019,6.1,126.0,361.0
Broken Wings,(III,,125.0,
Atithi Kab Aoge Shhamshan,2020,5.9,135.0,7.0
Gho Gho Rani,2019,9.4,105.0,47.0
1911,,,,
The Lift,2021,,,
Khuda Haafiz Chapter II,,,,
The Maya Tape,,,100.0,
Marudhar Express,2019,6.1,106.0,554.0
Chousar Firangi,2019,6.8,95.0,85.0
Hurdang,,,,
Bulbul Tarang,,,,
Baba Teerthnath,2022,,,
Out of the Blue,2021,,,
Toba Tek Singh,2018,6.9,75.0,118.0
Happi,2019,7.4,135.0,69.0
Laali,2019,6.6,45.0,18.0
The Chase,2021,,,
Haunted Evil Dead,2020,,98.0,
Unlock,2020,5.4,,9.0
P Se Pyaar F Se Faraar,2019,6.8,131.0,641.0
Little boy,2019,,137.0,
Yours Truly,2018,5.9,84.0,102.0
Kwatha,,,,
Boyfriend.com,2018,,,
Tank Cleaner,2021,8.7,155.0,20.0
Montu Ki Paltan,2020,,100.0,
The Last Rave,,,,
Cypher,2019,8.3,130.0,29.0
WOMB (Women of my Billion),,,,
Jungle Mystery Of Murder,2019,,,
Laila Aur Satt Geet,2020,6.7,96.0,87.0
Never Give Up,2019,,136.0,
Alpha Beta Gamma,2021,,124.0,
Night Encounters,,,89.0,
The Great Man,,,,
Going Rogue,,,140.0,
Mahakaleshwar - Legends of Shiva,2019,9.3,,18.0
Alert 24X7,,,,
Yug the law of karma,2021,7.7,75.0,10.0
Mehsampur,2018,6.6,99.0,41.0
Remember Amnesia,2019,7.7,88.0,29.0
Tauba Tera Jalwa,2021,,,
Shaadi ke patasey,2019,6.9,90.0,7.0
Waah Zindagi,,,130.0,
Seasons Greeting,2019,6.5,47.0,32.0
3 Shyaane,2020,,,
Idam Jagath,2018,5.4,126.0,115.0
Jwlwi - The Seed,2019,8.0,90.0,24.0
Friends In Law,2018,6.8,85.0,48.0
A Thursday,2021,,,
Bansuri: The Flute,2021,3.7,108.0,7.0
Dhaad,2018,5.5,135.0,13.0
Pari,2021,,,
Kottayam,2020,6.9,100.0,13.0
Kandy Twist,2019,8.2,113.0,8.0
3rd EYE,2019,6.3,145.0,6.0
Dahi Cheeni,,,,
Home Stories,2020,6.6,47.0,18.0
"LSD: Love, Sex Aur Dhokha 2",,,,
The Window,2018,7.0,118.0,33.0
Hush,2021,,,
Kutte Ki Dum,2018,8.9,143.0,10.0
Country of Blind,,,,
Lorni - The Flaneur,2019,7.0,107.0,5.0
Vettai Mannan,,,,
Gwalior,,,98.0,
Amar Prem,2020,4.4,143.0,25.0
Kastoori,2019,8.7,100.0,31.0
Gaalib,2021,,,
Ferrous,(I,,140.0,
Khajoor Pe Atke,2018,5.6,119.0,221.0
Jogira Sara Ra Ra,2021,,,
I Am Zero,2019,8.2,,8.0
Bishwa,2020,,,
B Positive,,,140.0,
Sin Story,,,,
Bye2,2020,8.1,48.0,29.0
Omprakash Zindabad,2020,4.9,130.0,11.0
Anya The Other,2019,,,
Love All,,,,
Barah by Barah,2021,,118.0,
Sonam Gupta Bewafa Hai,2021,,,
Myrah,2018,5.7,134.0,13.0
Coat,2021,,,
I Am Draupadi,2021,,110.0,
Jaako Raakhe Saaiyan,2021,,,
Timir,2022,,100.0,
Teri Bhabhi Hai Pagle,2018,3.1,125.0,125.0
A Game Called Relationship,2020,6.3,109.0,181.0
Scam,(IV,,,
The Hidden Strike,2020,3.5,100.0,41.0
Secret,(II,,,
The Bridge,2020,,,
Phir Se...,2018,5.4,118.0,206.0
Ek Bura Aadmi,,,,
Nazarband,2020,,85.0,
Boxed,2021,6.4,115.0,10.0
Dancing Dad,,,,
Bhawani Mandi Tesan,2018,6.4,,5.0
Evil Dead is Back,2021,,120.0,
Dimensions,2019,,63.0,
Hotel Milan,2018,3.8,130.0,78.0
Toolsidas Junior,2021,,,
Dehati Disco,2021,,,
Secret Attack,2020,8.6,,21.0
Vellapanti,,,,
Endcounter,2019,,138.0,
Woh 3 Din,2021,,,
Grihalakshmi - The Awakening,2019,8.7,70.0,20.0
I Know You,2020,3.5,98.0,20.0
Awasaan,2020,8.7,101.0,21.0
The Great Indian Casino,2019,,,
Vikas Ki Bahu,2018,,109.0,
Lohardaga,2019,7.8,120.0,8.0
Agam,,,88.0,
Code Blue,2019,6.9,,7.0
Chandro ka Devar,2019,,113.0,
Tara vs Bilal,2022,,,
Sanjeevani,2018,2.8,,23.0
The Last Ride,(V,,75.0,
Aliya Basu Gayab Hai,2020,,,
Zoo,2018,5.7,100.0,78.0
A Mistake (Ek Galti),2021,,,
Little Baby,2019,8.6,105.0,1417.0
Guthlee,2022,,,
Saroj Ka Rishta,2020,,122.0,
A Gift of Love: Sifar,2019,7.9,95.0,32.0
Nagin,2021,,,
Fateh singh,,,,
Untitled Vardhan Ketkar Film,2021,,,
Avantika,2020,,105.0,
Aparajitha Ayodhya,2021,,,
Blackboard vs Whiteboard,2019,5.4,152.0,43.0
Sragaal,2020,,140.0,
Lines,(I,,,
Kaaliyan,,,,
The Evening Show,2020,8.9,,60.0
Mango,(II,,,
Shehri Gabru,2020,8.5,62.0,92.0
Badnaam,2020,6.9,,7.0
Colour photo,2018,8.7,,21.0
Dare and Lovely,,,,
Gulfam,2020,,146.0,
Fazeeta,2019,,108.0,
Wanton,2020,4.5,90.0,124.0
Deep Inside,2021,,101.0,
Hanak,2021,,,
Love in a Taxi,2019,,,
La cinta de Alex,2019,5.9,109.0,37.0
Shaadi Teri Bajayenge Hum Band,2018,4.9,140.0,180.0
Desi Videsi,,,,
Das Capital Gulamon Ki Rajdhani,2020,7.1,,28.0
Chaalbaaz in London,2022,,,
Reason,2018,9.1,261.0,125.0
The Sholay Girl,2019,7.7,106.0,92.0
Black Market,2021,,131.0,
Wig Boss,2019,,,
The Outlander,,,120.0,
State vs. Malti Mhaske,2018,7.1,,67.0
My Angel My Teacher,2019,6.5,,8.0
Dear Molly,2018,7.8,91.0,10.0
Falsafa,2019,7.1,135.0,16.0
Zindagi Tumse,2019,6.0,120.0,13.0
Namumkin Tere Bin Jeena,2020,4.9,,13.0
Vinash Kaal,2020,5.0,,5.0
Dhoosarit - the Grey,2020,6.5,90.0,60.0
Maskhara,2021,,,
Ram Ki Janmabhoomi,2019,6.6,122.0,92.0
Lubdh,2021,,150.0,
I Am Roshni,2018,5.4,80.0,11.0
Sasi Lalitha,2020,,,
Fastey Fasaatey,2019,4.6,119.0,119.0
Gaon,2018,5.3,124.0,106.0
Udd Ja Re,2021,,83.0,
Welcome M1LL10NS,2018,6.0,117.0,11.0
Hamaari Bhabhi,2020,,77.0,
Kill the Rapist?,2018,,99.0,
Haseena,2018,4.4,135.0,92.0
Life of an Outcast,2018,6.6,81.0,36.0
The Right Click,2021,,,
Redrum,2018,3.9,101.0,28.0
Bombay Girl,2021,,,
Untitled Sejal Shah Project,2021,,,
T for Taj Mahal,2018,8.7,104.0,93.0
The Vanishing Act,,,120.0,
Junction Varanasi,2019,3.7,149.0,22.0
Devi Aur Hero,2019,7.8,117.0,15.0
Bikroo Kanpur Gangster,2021,,,
Mooso-the Mouse,,,89.0,
Kriya,2020,6.5,96.0,29.0
Waterschool,2018,6.3,67.0,60.0
Meri Nimmo,2018,7.1,90.0,283.0
The Purple Night,2021,,59.0,
Not Today,2021,,92.0,
Dosti Ke Side Effects,2019,3.3,130.0,46.0
Toofan Mail 8 Down,2021,,97.0,
The Brave Child,,,,
English ki taay taay fisss,2020,6.1,137.0,11.0
Sitara,2020,,,
Kadke Kamal Ke,2019,6.8,136.0,5.0
Shaitan Ka Bachcha,,,,
Main Hoon Khalnayak,2020,,,
Just Like That,2019,7.9,109.0,30.0
Risknamaa,2019,7.0,123.0,20.0
#Yaaram,2019,4.4,110.0,35.0
Chausar,2018,6.4,85.0,82.0
1978: A Teen Night Out,2019,4.0,107.0,20.0
Tallukh,2020,5.4,83.0,56.0
Kaunn Con haii?,,,,
Return Ticket,2021,,,
Delhi Bus,2018,,,
Ekram,2019,5.8,94.0,21.0
Justice For Good Content,2021,,,
KTina,,,,
Everything Is Cinema,2021,,70.0,
The Hundred Bucks,2020,6.7,102.0,9.0
Aa Bhi Ja O Piya,2021,,140.0,
Welcome on Board,2020,7.9,78.0,9.0
The Killer,(IV,,90.0,
LuvUTurn,2019,6.2,124.0,8.0
Daawat-e-Biryani,2019,7.1,89.0,22.0
Scholarship,,,,
Premaatur,2021,,109.0,
Phulmania,2019,5.4,120.0,16.0
Gunwali Dulhaniya,2019,3.5,114.0,20.0
Taanashah,2020,7.3,101.0,25.0
Moh,,,,
Fukrey Boyzzz: Space Mein Fukrapanti,2020,8.3,74.0,6.0
Mumbaiyya: The Daring Mumbaikar!,2020,,124.0,
Black Coffee,2021,,,
No Man's Truth,2020,6.3,123.0,30.0
The Closed Door,2021,,50.0,
Aakhet,,,,
Breed,2020,9.6,,48.0
Dainik,,,,
Lets Fly with My Paper Rocket,,,,
Ek Nashebaaz,2021,,,
Ishq Tera,2018,5.5,122.0,12.0
Dabba Gul,,,,
Kehta Hai Yeh Dil,2020,3.3,116.0,10.0
Mera Ramrajya Nai Kranti,2020,8.8,162.0,16.0
Chhatrapati Shivaji,,,,
Veergati,2019,6.0,61.0,21.0
Love in A Taxi,2020,,,
Mughalsarai Junction,2020,,,
Love in College,2019,,142.0,
Rescue,2019,4.5,80.0,18.0
Brainwashed,2019,,,
Issaq Tera,,,,
Bhoot Bhaijaan,2018,,105.0,
Ok Mein Dhokhe,2018,,,
Badmaash Bubbly,2019,,67.0,
Billa Ranga Baashaa,,,,
Ae Kaash Ke Hum,2021,,,
Miracle,2019,,,
Sridevi Bungalow,,,,
Haaye Dil,,,,
Umakant Pandey Purush Ya,2019,7.0,120.0,49.0
Ghost Story - An Abstract Film,2020,8.4,,8.0
